,original-minilm,minilm-controlled,cascade-17m-68m,direct-68m,direct-32m,cascade-17m-32m,cascade-32m-68m,direct-17m
original-minilm,0.651,0.651,0.092,0.082,0.082,0.084,0.085,0.061
minilm-controlled,0.651,1.0,0.146,0.133,0.134,0.135,0.137,0.102
cascade-17m-68m,0.092,0.146,1.0,0.889,0.633,0.653,0.911,0.535
direct-68m,0.082,0.133,0.889,1.0,0.611,0.607,0.963,0.496
direct-32m,0.082,0.134,0.633,0.611,1.0,0.958,0.623,0.534
cascade-17m-32m,0.084,0.135,0.653,0.607,0.958,1.0,0.619,0.55
cascade-32m-68m,0.085,0.137,0.911,0.963,0.623,0.619,1.0,0.505
direct-17m,0.061,0.102,0.535,0.496,0.534,0.55,0.505,1.0
