key,config,companies,max_from_one_company,mean_cluster_size,max_cluster_size,mean_title_cosine,mean_desc_chars,corr_score_vs_len
1,original-minilm,56,23,1.0,1,0.9749236649274826,6691.4,0.11242836181587722
1b,minilm-controlled,75,15,1.61,18,0.9287507337331772,6509.8,0.126223263604771
2,cascade-17m-68m,57,14,1.54,18,0.7214307108521462,5934.86,0.3063130341372502
3,direct-68m,53,18,1.56,18,0.6886581620573997,5556.93,0.17337993405481938
4,direct-32m,44,19,1.63,18,0.7128196814656258,5978.15,0.15498476951850662
5,cascade-17m-32m,43,22,1.58,18,0.7101191818714142,6269.34,0.3202497976140787
6,cascade-32m-68m,53,16,1.57,18,0.7024405723810196,5652.39,0.15566250379660393
7,direct-17m,42,44,1.64,18,0.6657706293463707,6772.41,0.3336856919019
