,original-minilm,minilm-controlled,cascade-17m-68m,direct-68m,direct-32m,cascade-17m-32m,cascade-32m-68m,direct-17m
original-minilm,1.0,0.69,0.182,0.166,0.158,0.166,0.166,0.119
minilm-controlled,0.69,1.0,0.205,0.183,0.19,0.19,0.19,0.136
cascade-17m-68m,0.182,0.205,1.0,0.639,0.562,0.575,0.695,0.408
direct-68m,0.166,0.183,0.639,1.0,0.55,0.504,0.905,0.361
direct-32m,0.158,0.19,0.562,0.55,1.0,0.852,0.562,0.418
cascade-17m-32m,0.166,0.19,0.575,0.504,0.852,1.0,0.527,0.449
cascade-32m-68m,0.166,0.19,0.695,0.905,0.562,0.527,1.0,0.37
direct-17m,0.119,0.136,0.408,0.361,0.418,0.449,0.37,1.0
