config,key,wide_model,refine_model,gate,dedupe,pool_n,clusters_n,wide_pairs,refine_pairs,gate_s,wide_s,refine_s,cluster_s,rerank_s,total_s,wide_cached,refine_cached,peak_vram_gb
original-minilm,1,,,0.35,False,4613,4613,0,0,9.359925099997781,0.0,0.0,0.010734700001194142,0.0,9.370659799998975,False,False,0.0
minilm-controlled,1b,,,0.25,True,6267,4558,0,0,9.359925099997781,0.0,0.0,0.05228260000149021,0.0,9.412207699999271,False,False,0.0
cascade-17m-68m,2,17m,68m,0.25,True,6267,4558,6267,500,9.359925099997781,203.026122700001,98.67937620000157,0.05149650000385009,301.70549890000257,311.1169205000042,False,False,1.1798439025878906
direct-68m,3,68m,,0.25,True,6267,4558,6267,0,9.359925099997781,1008.0789959999966,0.0,0.05004170000029262,1008.0789959999966,1017.4889627999946,False,False,1.1789298057556152
direct-32m,4,32m,,0.25,True,6267,4558,6267,0,9.359925099997781,365.77298220000375,0.0,0.04905900000449037,365.77298220000375,375.181966300006,False,False,1.1720943450927734
cascade-17m-32m,5,17m,32m,0.25,True,6267,4558,6267,500,9.359925099997781,203.026122700001,35.568618700002844,0.04907639999873936,238.59474140000384,248.00374290000036,True,False,1.1725544929504395
cascade-32m-68m,6,32m,68m,0.25,True,6267,4558,6267,500,9.359925099997781,365.77298220000375,77.89178820000234,0.05144109999673674,443.6647704000061,453.0761366000006,True,False,1.1720943450927734
direct-17m,7,17m,,0.25,True,6267,4558,6267,0,9.359925099997781,203.026122700001,0.0,0.05205959999875631,203.026122700001,212.43810739999753,True,False,1.0476908683776855
